name,id
"By Colton, Larry",author_1
"By Grumbach, Doris",author_2
"By Piscatella, Joseph C.",author_3
"By Davis, Paul D.",author_4
"By Spangler, Amy",author_5
"By Short, Bo",author_6
"By Canfield, Jack (COM) and Hansen, Mark Victor (COM)",author_7
"By Stepanek, Mattie J. T.",author_8
"By Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W.",author_9
"By Eakin, Katherine M. and Deaman, Joane (EDT)",author_10
"By Smith, Richard",author_11
"By Miller, Judith, Engelberg, Stephen, and Broad, William J.",author_12
"By Visotzky, Burton L.",author_13
"By Gomes, Peter J.",author_14
"By Bragg, Rick",author_15
"By Dennison, George",author_16
"By Garner, Valerie",author_17
"By Penrose, Roger",author_18
"By Thornton, Louise, Sturtevant, Jan, and Sumrall, Amber Coverdale (EDT)",author_19
"By Jackley, John L.",author_20
"By Time-Life for Children (Firm) (COR), Singer, Muff, and Hoggan, Pat (ILT)",author_21
"By Aymar, Brandt (EDT)",author_22
"By Viorst, Judith",author_23
By Edith Tiger,author_24
"By Hawking, Stephen W.",author_25
By Albert Einstein,author_26
"By Gertz, Bill",author_27
"By Kay, Terry",author_28
"By Manning, Martha",author_29
"By Peck, M. Scott",author_30
"By Harrison, Kathryn",author_31
"By Haufler, Hervie",author_32
"By Turabian, Kate L.",author_33
"By Suskind, Ron",author_34
"By Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)",author_35
"By Kessler, Ronald",author_36
"By Moore, Thomas",author_37
"By Stevens, Peter F.",author_38
"By Preston, Caroline",author_39
"By Girzone, Joseph F.",author_40
"By Hopkins, Andrea",author_41
"By Kushner, Harold S.",author_42
"By Ornish, Dean and Brown, Shirley Elizabeth (EDT)",author_43
By Konemann Inc. (EDT),author_44
"By Conway, Jill Ker (EDT)",author_45
"By Hodge, Paul",author_46
"By Nielsen, Jerri and Vollers, Maryanne",author_47
"By Heinerman, John",author_48
"By Schonfeld, Reese",author_49
"By Lawrence, Ronald Melvin, Plowden, Judith, and Rosch, Paul",author_50
"By Cooper, Kenneth H.",author_51
"By Robinson, Archie",author_52
"By Terkel, Studs",author_53
"By Brodner, Steve (ILT) and Brouwer, Steve",author_54
"By Bernhard, Sandra",author_55
"By Goldman, Kevin",author_56
"By Fusaro, Peter C. and Miller, Ross M.",author_57
"By Schaef, Anne Wilson and Fassel, Diane",author_58
By Joseph Alsop,author_59
"By Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT)",author_60
"By Scarisbrick, J. J.",author_61
"By Coles, Robert",author_62
"By Elder, E",author_63
"By Gould, James L. and Gould, Carol Grant (EDT)",author_64
"By Wesler, Cathy A.",author_65
"By McCormick, Ken",author_66
"By Parrott, Les",author_67
"By Bodley, John H.",author_68
"By Moore, Geoffrey A.",author_69
"By McLaughlin, Ann L.",author_70
"By Iovine, Vicki",author_71
"By Watson, John H. and Millett, Larry (EDT)",author_72
"By Goetzmann, William H.",author_73
"By Osborne, David and Gaebler, Ted",author_74
"By Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)",author_75
"By Landi, Val",author_76
"By Jackson, Kathryn",author_77
By A. G. L. Ives,author_78
"By Wylie, Philip",author_79
"By Wyse, Lois and Rogers, Lilla (ILT)",author_80
"By Naisbitt, John and Aburdene, Patricia",author_81
"By Morris, Gary (EDT) and Blue Mountain Arts Collection (COR)",author_82
"By Baker, Sheridan Warner",author_83
"By Atkins, P. W.",author_84
"By Kirkland, Douglas, Marsh, Ed W., and Kirkland, Douglas (PHT)",author_85
"By Sadat, Jehan",author_86
"By Meier, Sid",author_87
"By Don DeNevi, Philip Bergen",author_88
"By Buckley, William F.",author_89
"By Mirkin, Gabe and Rich, Diana",author_90
"By Donaldson, Stephen R.",author_91
"By Grant, W. Harold, Thompson, Magdala, and Clarke, Thomas E.",author_92
"By Brooks, Bruce",author_93
"By Mezrich, Ben",author_94
"By Quigley, Sebastian (ILT) and Jefferis, David",author_95
"By Bowers, Claude Gernade",author_96
"By Olsen, Wayne, Ph.D. (EDT)",author_97
"By Cohen-Sandler, Roni, Ph.D.",author_98
"By Wirths, Claudine G. and Bowman-Kruhm, Mary",author_99
"By Reagan, Ronald and Hannaford, Peter",author_100
"By Burman, Ben Lucien",author_101
"By De Pree, Max",author_102
"By McCall, Nathan",author_103
"By Rich, Adrienne Cecile",author_104
"By Villa, Richard A. (EDT) and Thousand, Jacqueline S. (EDT)",author_105
"By Ross-Larson, Bruce",author_106
"By Hinckley, Gordon B. and Wallace, Mike (FRW)",author_107
"By Roberts, Nancy",author_108
"By Owen, David",author_109
"By Grollman, Earl A.",author_110
"By Halliday, E. M.",author_111
"By Powter, Susan",author_112
"By Cronon, William",author_113
By Arthur Byron Cover,author_114
"By Bean, Billy and Bull, Chris",author_115
"By Thomas, Kaye A.",author_116
"By Lodish, Harvey F., Baltimore, David, and Berk, Arnold (CON)",author_117
"By Fowlkes, Frank V.",author_118
"By Covey, Stephen R., Merrill, A. Roger, and Merrill, Rebecca R.",author_119
"By Glen, Samantha and Moore, Mary Tyler (INT)",author_120
"By Pappas, George S.",author_121
"By Williams, Lynna",author_122
"By Blanchard, Kenneth H. and Lorber, Robert",author_123
"By Fuentes, Carlos and Christensen, Thomas (TRN)",author_124
"By Rupp, Joyce and Veeder, Judith (ILT)",author_125
"By Walsch, Neale Donald",author_126
"By McKeldin, Theodore R",author_127
"By Compton, Susan P.",author_128
"By MacInnes, Helen",author_129
"By Kramer, Peter D.",author_130
"By Bodett, Tom",author_131
"By Newbold, Heather (EDT)",author_132
By Hm (COR),author_133
"By Hoxton, Rob",author_134
"By Fraser, Kennedy, Whitney Museum of American Art (COR), Weinberg, Adam D., and Venn, Beth",author_135
"By Ross, Pat",author_136
"By Hayes, Alan",author_137
"By Szulc, Tad",author_138
"By Papolos, Janice",author_139
"By Peeke, Pamela",author_140
"By Halpern, Belle Linda and Lubar, Kathy",author_141
"By Weisgard, Leonard (ILT) and Wahl, Jan",author_142
"By Galbraith, John Kenneth",author_143
"By Rosen, Robert (EDT), Digh, Patricia, Singer, Marshall, and Phillips, Carl",author_144
"By Schmoker, Michael J.",author_145
"By Hildebrand, Ron (ILT) and Merwin, John",author_146
"By Cleage, Pearl",author_147
"By Miller, Roger LeRoy",author_148
By Reader's Digest Association,author_149
"By Edgerton, Clyde",author_150
"By Buchman, Dian Dincin",author_151
"By Reidy, Sue",author_152
"By Zemke, Deborah (ILT) and Brown, Rosemary Carleton",author_153
By Susan Polis Schutz,author_154
"By Hammer, Michael and Champy, James",author_155
"By Gaither, Gloria (COM)",author_156
"By Dashe, Alfred M.",author_157
"By Martin, Judy",author_158
"By Spence, Jonathan D.",author_159
"By Zacharias, Ellis M",author_160
"By Evans, James R.",author_161
"By Worsley, Frank Arthur",author_162
"By Horney, Karen (EDT)",author_163
